timestamp,device_id,co2 (ppm),voc (ppb),pm1 (µg/m³),pm25 (µg/m³),pm4 (µg/m³),pm10 (µg/m³),temp_c (°C),rh (%),health_index
2025-10-05T02:20:00Z,SPS3.001,436,67,2.5,4.3,6.6,6.6,21.4,44.7,96.6
2025-10-05T02:20:00Z,FieldLab.001,452,96,,,,,21.8,42.3,100.0
2025-10-05T02:25:00Z,AirQ.001,462,84,4.5,4.5,4.8,5.7,21.4,41.2,96.4
2025-10-05T02:25:00Z,SPS3.001,419,74,0.0,0.0,0.0,0.0,21.3,46.7,100.0
2025-10-05T02:25:00Z,FieldLab.001,431,134,,,,,21.3,42.4,100.0
2025-10-05T02:30:00Z,AirQ.001,425,81,3.8,4.8,4.8,7.9,21.3,44.3,96.2
2025-10-05T02:30:00Z,SPS3.001,435,72,1.9,2.8,4.8,10.2,21.3,43.5,97.8
2025-10-05T02:30:00Z,FieldLab.001,408,93,,,,,21.9,42.5,100.0
2025-10-05T02:35:00Z,AirQ.001,439,123,3.7,4.0,7.0,7.0,21.4,44.3,96.8
2025-10-05T02:35:00Z,SPS3.001,454,106,3.8,7.6,11.2,14.4,21.2,42.4,93.9
2025-10-05T02:35:00Z,FieldLab.001,447,104,,,,,21.5,43.5,100.0
2025-10-05T02:40:00Z,AirQ.001,417,131,3.9,3.9,4.5,6.1,21.6,43.8,96.9
2025-10-05T02:40:00Z,SPS3.001,429,84,0.0,0.0,0.0,0.3,21.5,42.7,100.0
2025-10-05T02:40:00Z,FieldLab.001,430,80,,,,,21.9,41.3,100.0
2025-10-05T02:45:00Z,AirQ.001,404,81,1.8,2.9,4.5,5.5,21.4,46.4,97.7
2025-10-05T02:45:00Z,SPS3.001,416,76,1.8,4.0,4.0,8.6,21.3,45.0,96.8
2025-10-05T02:45:00Z,FieldLab.001,434,93,,,,,21.5,44.3,100.0
2025-10-05T02:50:00Z,AirQ.001,445,70,3.7,3.9,4.6,8.6,21.2,46.4,96.9
2025-10-05T02:50:00Z,SPS3.001,431,54,2.1,2.7,3.1,5.6,21.3,42.7,97.8
2025-10-05T02:50:00Z,FieldLab.001,474,113,,,,,21.5,42.3,100.0
2025-10-05T02:55:00Z,AirQ.001,435,65,2.7,3.1,3.1,4.0,21.2,42.3,97.5
2025-10-05T02:55:00Z,SPS3.001,436,110,1.2,1.8,1.8,11.1,21.4,44.4,98.6
2025-10-05T02:55:00Z,FieldLab.001,446,121,,,,,21.7,44.1,100.0
2025-10-05T03:00:00Z,AirQ.001,465,84,2.1,2.8,2.9,4.9,21.5,43.0,97.8
2025-10-05T03:00:00Z,SPS3.001,440,70,1.4,1.9,1.9,4.9,21.6,43.7,98.5
2025-10-05T03:00:00Z,FieldLab.001,454,63,,,,,21.0,44.2,100.0
2025-10-05T03:05:00Z,AirQ.001,455,82,3.9,4.2,4.2,9.0,21.6,43.1,96.6
2025-10-05T03:05:00Z,SPS3.001,443,100,0.7,3.1,4.1,5.9,21.6,40.6,97.5
2025-10-05T03:05:00Z,FieldLab.001,438,101,,,,,21.0,45.7,100.0
2025-10-05T03:10:00Z,AirQ.001,429,55,2.0,3.1,4.9,4.9,20.9,43.5,97.5
2025-10-05T03:10:00Z,SPS3.001,460,115,3.9,7.2,10.4,20.3,21.2,44.7,94.2
2025-10-05T03:10:00Z,FieldLab.001,431,112,,,,,21.3,45.2,100.0
2025-10-05T03:15:00Z,AirQ.001,434,50,4.6,4.8,4.8,11.2,21.2,45.9,96.2
2025-10-05T03:15:00Z,SPS3.001,421,67,1.9,2.3,2.8,7.1,21.0,44.1,98.2
2025-10-05T03:15:00Z,FieldLab.001,471,101,,,,,21.5,46.0,100.0
2025-10-05T03:20:00Z,AirQ.001,442,74,3.2,3.6,4.7,6.0,21.6,45.0,97.1
2025-10-05T03:20:00Z,SPS3.001,434,120,3.4,5.4,9.9,10.4,21.2,42.7,95.7
2025-10-05T03:20:00Z,FieldLab.001,414,69,,,,,20.7,43.3,100.0
2025-10-05T03:25:00Z,AirQ.001,420,119,2.2,4.1,7.7,7.7,20.8,45.9,96.7
2025-10-05T03:25:00Z,SPS3.001,476,108,2.0,3.8,6.2,7.8,21.0,43.1,97.0
2025-10-05T03:25:00Z,FieldLab.001,426,78,,,,,21.4,42.0,100.0
2025-10-05T03:30:00Z,AirQ.001,423,90,2.1,3.2,3.2,5.3,20.8,45.1,97.4
2025-10-05T03:30:00Z,SPS3.001,437,79,2.5,4.3,8.2,10.6,21.1,45.1,96.6
2025-10-05T03:30:00Z,FieldLab.001,442,62,,,,,21.0,43.4,100.0
2025-10-05T03:35:00Z,AirQ.001,448,125,3.5,4.9,6.2,8.3,21.2,44.3,96.1
2025-10-05T03:35:00Z,SPS3.001,434,90,2.0,2.0,2.0,5.4,21.1,45.2,98.4
2025-10-05T03:35:00Z,FieldLab.001,422,50,,,,,21.3,47.0,100.0
2025-10-05T03:40:00Z,AirQ.001,429,66,1.7,2.5,3.3,3.3,21.2,45.9,98.0
2025-10-05T03:40:00Z,SPS3.001,407,111,3.8,5.1,7.1,8.0,20.9,45.6,95.9
2025-10-05T03:40:00Z,FieldLab.001,424,75,,,,,21.4,46.3,100.0
2025-10-05T03:45:00Z,AirQ.001,442,86,4.9,4.9,6.4,7.5,21.0,45.0,96.1
2025-10-05T03:45:00Z,SPS3.001,435,117,0.0,0.2,0.2,0.8,21.3,43.5,99.8
2025-10-05T03:45:00Z,FieldLab.001,420,65,,,,,21.1,46.0,100.0
2025-10-05T03:50:00Z,AirQ.001,436,108,2.9,3.8,5.2,5.2,21.1,44.9,97.0
2025-10-05T03:50:00Z,SPS3.001,453,155,1.2,1.6,1.6,3.7,21.0,43.4,98.7
2025-10-05T03:50:00Z,FieldLab.001,446,95,,,,,20.6,43.5,100.0
2025-10-05T03:55:00Z,AirQ.001,430,108,4.2,4.8,5.4,5.8,21.0,44.4,96.2
2025-10-05T03:55:00Z,SPS3.001,438,94,2.1,3.3,9.0,9.0,21.0,44.8,97.4
2025-10-05T03:55:00Z,FieldLab.001,451,64,,,,,21.2,46.1,100.0
2025-10-05T04:00:00Z,AirQ.001,420,115,0.6,0.6,0.7,2.0,21.0,43.6,99.5
2025-10-05T04:00:00Z,SPS3.001,453,64,2.6,5.6,5.6,10.0,20.8,41.7,95.5
2025-10-05T04:00:00Z,FieldLab.001,443,77,,,,,21.3,44.2,100.0
2025-10-05T04:05:00Z,AirQ.001,465,81,4.8,5.2,6.6,10.1,21.4,45.2,95.8
2025-10-05T04:05:00Z,SPS3.001,425,77,1.9,3.2,3.4,3.5,21.3,43.7,97.4
2025-10-05T04:05:00Z,FieldLab.001,420,122,,,,,21.3,46.2,100.0
2025-10-05T04:10:00Z,AirQ.001,449,62,3.9,4.3,5.7,10.6,20.8,46.6,96.6
2025-10-05T04:10:00Z,SPS3.001,437,112,1.5,2.3,4.2,4.2,20.8,43.3,98.2
2025-10-05T04:10:00Z,FieldLab.001,406,88,,,,,20.9,45.7,100.0
2025-10-05T04:15:00Z,AirQ.001,450,79,2.8,3.4,6.1,6.1,21.1,46.3,97.3
2025-10-05T04:15:00Z,SPS3.001,454,61,2.1,3.0,5.2,6.5,20.6,46.1,97.6
2025-10-05T04:15:00Z,FieldLab.001,455,120,,,,,21.1,42.7,100.0
2025-10-05T04:20:00Z,AirQ.001,448,78,2.7,3.6,3.7,6.4,21.3,46.0,97.1
2025-10-05T04:20:00Z,SPS3.001,419,100,0.5,2.1,2.1,2.1,20.7,42.3,98.3
2025-10-05T04:20:00Z,FieldLab.001,448,58,,,,,20.5,43.2,100.0
2025-10-05T04:25:00Z,AirQ.001,453,157,7.5,7.6,10.5,13.0,21.0,46.7,93.9
2025-10-05T04:25:00Z,SPS3.001,425,93,2.4,3.3,5.9,5.9,21.1,44.9,97.4
2025-10-05T04:25:00Z,FieldLab.001,422,90,,,,,21.3,46.5,100.0
2025-10-05T04:30:00Z,AirQ.001,425,85,3.2,3.2,6.1,7.7,20.7,43.9,97.4
2025-10-05T04:30:00Z,SPS3.001,433,119,1.5,2.3,2.8,10.5,20.6,45.5,98.2
2025-10-05T04:30:00Z,FieldLab.001,440,135,,,,,20.7,44.7,100.0
2025-10-05T04:35:00Z,AirQ.001,440,101,2.1,2.9,2.9,3.8,20.9,47.1,97.7
2025-10-05T04:35:00Z,SPS3.001,427,87,1.5,2.6,2.6,2.6,20.6,46.1,97.9
2025-10-05T04:35:00Z,FieldLab.001,441,96,,,,,20.4,44.9,100.0
2025-10-05T04:40:00Z,AirQ.001,444,60,4.2,4.3,4.3,4.6,20.9,47.5,96.6
2025-10-05T04:40:00Z,SPS3.001,420,86,3.4,4.2,5.6,5.6,20.5,45.7,96.6
2025-10-05T04:40:00Z,FieldLab.001,437,109,,,,,21.3,45.8,100.0
2025-10-05T04:45:00Z,AirQ.001,424,128,1.1,1.6,1.6,2.5,21.2,46.4,98.7
2025-10-05T04:45:00Z,SPS3.001,431,54,1.0,1.8,4.1,4.1,20.8,47.4,98.6
2025-10-05T04:45:00Z,FieldLab.001,449,79,,,,,20.8,43.7,100.0
2025-10-05T04:50:00Z,AirQ.001,448,123,3.8,4.0,5.4,5.4,20.6,47.5,96.8
2025-10-05T04:50:00Z,SPS3.001,429,101,1.4,3.8,3.8,8.8,20.8,46.3,97.0
2025-10-05T04:50:00Z,FieldLab.001,446,67,,,,,20.9,45.7,100.0
2025-10-05T04:55:00Z,AirQ.001,453,158,2.8,3.1,3.4,4.8,21.1,44.6,97.5
2025-10-05T04:55:00Z,SPS3.001,456,91,0.0,0.0,0.2,0.2,20.5,45.2,100.0
2025-10-05T04:55:00Z,FieldLab.001,430,50,,,,,21.0,48.3,100.0
2025-10-05T05:00:00Z,AirQ.001,449,94,2.0,2.0,2.0,3.4,20.8,45.8,98.4
2025-10-05T05:00:00Z,SPS3.001,443,128,0.4,0.6,2.9,2.9,20.9,47.2,99.5
2025-10-05T05:00:00Z,FieldLab.001,422,110,,,,,21.2,46.0,100.0
2025-10-05T05:05:00Z,AirQ.001,424,90,2.3,2.5,3.3,5.1,20.6,47.0,98.0
2025-10-05T05:05:00Z,SPS3.001,433,109,2.2,3.3,3.7,8.3,20.5,44.9,97.4
2025-10-05T05:05:00Z,FieldLab.001,434,86,,,,,20.4,44.6,100.0
2025-10-05T05:10:00Z,AirQ.001,454,112,2.6,2.6,2.6,4.3,20.9,47.1,97.9
2025-10-05T05:10:00Z,SPS3.001,441,50,2.8,5.4,9.1,12.3,21.2,44.6,95.7
2025-10-05T05:10:00Z,FieldLab.001,461,95,,,,,20.3,45.9,100.0
2025-10-05T05:15:00Z,AirQ.001,428,89,4.3,5.4,6.7,6.7,20.3,45.5,95.7
2025-10-05T05:15:00Z,SPS3.001,434,76,0.0,0.0,0.0,0.0,20.5,46.1,100.0
2025-10-05T05:15:00Z,FieldLab.001,441,79,,,,,20.2,46.6,100.0
2025-10-05T05:20:00Z,AirQ.001,435,71,4.2,4.9,8.2,8.2,20.5,44.2,96.1
2025-10-05T05:20:00Z,SPS3.001,404,113,3.5,7.0,9.7,12.2,20.5,47.0,94.4
2025-10-05T05:20:00Z,FieldLab.001,419,88,,,,,20.4,46.3,100.0
2025-10-05T05:25:00Z,AirQ.001,436,77,3.1,3.7,4.4,6.8,20.7,48.0,97.0
2025-10-05T05:25:00Z,SPS3.001,438,103,0.0,1.9,1.9,14.7,20.5,43.6,98.5
2025-10-05T05:25:00Z,FieldLab.001,451,126,,,,,20.4,49.2,100.0
2025-10-05T05:30:00Z,AirQ.001,420,87,4.7,5.4,6.3,9.4,20.8,44.0,95.7
2025-10-05T05:30:00Z,SPS3.001,451,69,1.8,4.6,4.6,7.9,20.6,46.4,96.3
2025-10-05T05:30:00Z,FieldLab.001,420,51,,,,,20.4,48.1,100.0
2025-10-05T05:35:00Z,AirQ.001,457,79,2.2,2.8,3.4,5.2,20.6,46.1,97.8
2025-10-05T05:35:00Z,SPS3.001,434,84,0.2,0.4,1.0,1.9,20.8,44.4,99.7
2025-10-05T05:35:00Z,FieldLab.001,417,50,,,,,21.0,50.1,100.0
2025-10-05T05:40:00Z,AirQ.001,446,67,1.5,2.1,2.1,4.5,20.3,47.2,98.3
2025-10-05T05:40:00Z,SPS3.001,464,101,5.2,8.3,10.3,12.3,20.5,45.9,93.4
2025-10-05T05:40:00Z,FieldLab.001,416,100,,,,,20.7,48.4,100.0
2025-10-05T05:45:00Z,AirQ.001,438,84,3.3,3.6,4.3,7.5,20.5,44.2,97.1
2025-10-05T05:45:00Z,SPS3.001,452,77,0.0,0.0,0.0,2.1,20.4,47.5,100.0
2025-10-05T05:45:00Z,FieldLab.001,464,88,,,,,20.7,42.5,100.0
2025-10-05T05:50:00Z,AirQ.001,446,142,2.0,2.1,2.1,2.1,20.4,48.2,98.3
2025-10-05T05:50:00Z,SPS3.001,451,106,2.4,5.0,8.1,15.2,20.7,47.6,96.0
2025-10-05T05:50:00Z,FieldLab.001,427,89,,,,,20.3,45.9,100.0
2025-10-05T05:55:00Z,AirQ.001,431,86,1.1,1.3,1.3,3.2,20.7,44.6,99.0
2025-10-05T05:55:00Z,SPS3.001,422,70,2.3,4.5,7.4,7.4,20.5,47.1,96.4
2025-10-05T05:55:00Z,FieldLab.001,433,124,,,,,19.7,47.3,99.4
2025-10-05T06:00:00Z,AirQ.001,466,66,4.3,4.8,7.0,12.5,20.6,46.3,96.2
2025-10-05T06:00:00Z,SPS3.001,431,102,0.5,0.9,3.1,3.1,20.3,48.8,99.3
2025-10-05T06:00:00Z,FieldLab.001,432,82,,,,,20.7,47.5,100.0
2025-10-05T06:05:00Z,AirQ.001,441,90,1.3,2.9,3.3,7.1,20.7,48.6,97.7
2025-10-05T06:05:00Z,SPS3.001,454,98,1.4,3.0,4.3,7.9,20.4,42.9,97.6
2025-10-05T06:05:00Z,FieldLab.001,434,88,,,,,20.3,46.9,100.0
2025-10-05T06:10:00Z,AirQ.001,432,84,4.3,5.1,7.0,7.0,20.0,48.4,95.9
2025-10-05T06:10:00Z,SPS3.001,439,120,2.2,4.8,6.8,9.4,20.2,45.1,96.2
2025-10-05T06:10:00Z,FieldLab.001,412,88,,,,,20.2,43.4,100.0
2025-10-05T06:15:00Z,AirQ.001,439,113,2.8,4.0,6.1,7.2,20.6,47.9,96.8
2025-10-05T06:15:00Z,SPS3.001,437,108,0.3,3.0,4.6,10.2,20.1,48.3,97.6
2025-10-05T06:15:00Z,FieldLab.001,442,70,,,,,20.4,44.8,100.0
2025-10-05T06:20:00Z,AirQ.001,437,107,1.3,1.8,1.8,2.0,20.7,48.2,98.6
2025-10-05T06:20:00Z,SPS3.001,419,61,2.1,2.9,5.1,5.1,20.3,44.6,97.7
2025-10-05T06:20:00Z,FieldLab.001,445,73,,,,,20.9,44.9,100.0
2025-10-05T06:25:00Z,AirQ.001,443,94,2.9,4.7,7.5,7.5,20.3,46.8,96.2
2025-10-05T06:25:00Z,SPS3.001,440,105,1.6,2.8,3.8,8.0,20.2,47.4,97.8
2025-10-05T06:25:00Z,FieldLab.001,446,62,,,,,20.6,45.5,100.0
2025-10-05T06:30:00Z,AirQ.001,422,93,3.4,3.7,5.5,5.5,20.3,47.9,97.0
2025-10-05T06:30:00Z,SPS3.001,429,74,0.3,2.2,2.2,2.2,20.4,47.7,98.2
2025-10-05T06:30:00Z,FieldLab.001,441,76,,,,,20.6,44.5,100.0
2025-10-05T06:35:00Z,AirQ.001,446,112,1.6,2.2,3.4,3.4,20.5,50.5,98.2
2025-10-05T06:35:00Z,SPS3.001,416,96,2.9,3.7,4.1,6.2,19.5,48.1,96.0
2025-10-05T06:35:00Z,FieldLab.001,416,68,,,,,19.7,47.8,99.4
2025-10-05T06:40:00Z,AirQ.001,443,119,1.9,2.1,2.1,2.8,20.4,46.9,98.3
2025-10-05T06:40:00Z,SPS3.001,425,75,0.0,0.0,2.5,3.3,20.3,49.3,100.0
2025-10-05T06:40:00Z,FieldLab.001,419,82,,,,,20.5,48.8,100.0
2025-10-05T06:45:00Z,AirQ.001,430,129,1.7,2.4,3.5,4.4,20.7,48.6,98.1
2025-10-05T06:45:00Z,SPS3.001,416,69,0.0,1.4,2.2,7.3,20.6,48.9,98.9
2025-10-05T06:45:00Z,FieldLab.001,440,117,,,,,20.5,46.7,100.0
2025-10-05T06:50:00Z,AirQ.001,424,120,4.1,4.4,4.4,5.6,20.5,49.0,96.5
2025-10-05T06:50:00Z,SPS3.001,431,92,2.4,5.4,7.7,16.6,20.8,47.8,95.7
2025-10-05T06:50:00Z,FieldLab.001,435,50,,,,,20.6,47.0,100.0
2025-10-05T06:55:00Z,AirQ.001,424,84,2.5,2.5,3.3,3.3,20.3,45.1,98.0
2025-10-05T06:55:00Z,SPS3.001,439,60,1.3,3.0,3.8,3.8,20.5,50.5,97.6
2025-10-05T06:55:00Z,FieldLab.001,427,89,,,,,20.3,48.5,100.0
2025-10-05T07:00:00Z,AirQ.001,456,132,0.8,1.5,2.3,2.3,20.3,46.7,98.8
2025-10-05T07:00:00Z,SPS3.001,430,77,0.7,3.1,3.1,3.9,19.8,47.6,97.1
2025-10-05T07:00:00Z,FieldLab.001,448,75,,,,,20.3,47.0,100.0
2025-10-05T07:05:00Z,AirQ.001,436,127,2.9,2.9,5.3,5.3,20.0,49.4,97.7
2025-10-05T07:05:00Z,SPS3.001,441,102,3.2,6.7,12.5,14.3,20.2,47.4,94.6
2025-10-05T07:05:00Z,FieldLab.001,413,106,,,,,20.4,46.3,100.0
2025-10-05T07:10:00Z,AirQ.001,435,101,1.7,3.0,5.7,7.1,19.9,48.9,97.4
2025-10-05T07:10:00Z,SPS3.001,429,102,0.9,2.6,6.9,6.9,20.7,49.4,97.9
2025-10-05T07:10:00Z,FieldLab.001,445,95,,,,,20.4,48.6,100.0
2025-10-05T07:15:00Z,AirQ.001,419,116,3.8,3.9,7.5,7.5,19.9,48.4,96.7
2025-10-05T07:15:00Z,SPS3.001,446,130,0.3,2.3,2.3,6.9,20.3,47.2,98.2
2025-10-05T07:15:00Z,FieldLab.001,409,94,,,,,20.1,50.1,100.0
2025-10-05T07:20:00Z,AirQ.001,419,107,2.7,2.7,2.9,2.9,20.0,46.7,97.8
2025-10-05T07:20:00Z,SPS3.001,483,120,1.4,1.4,1.4,1.4,20.4,48.0,98.9
2025-10-05T07:20:00Z,FieldLab.001,448,103,,,,,20.2,49.4,100.0
2025-10-05T07:25:00Z,AirQ.001,444,109,2.6,2.8,2.8,3.2,20.1,49.5,97.8
2025-10-05T07:25:00Z,SPS3.001,446,95,1.6,3.8,4.6,8.4,19.8,45.9,96.6
2025-10-05T07:25:00Z,FieldLab.001,446,79,,,,,20.5,51.2,100.0
2025-10-05T07:30:00Z,AirQ.001,407,121,1.2,1.4,2.1,3.9,20.0,48.2,98.9
2025-10-05T07:30:00Z,SPS3.001,422,104,0.0,1.4,1.6,3.6,19.5,48.4,97.9
2025-10-05T07:30:00Z,FieldLab.001,435,130,,,,,20.5,48.5,100.0
2025-10-05T07:35:00Z,AirQ.001,463,103,2.6,3.9,4.4,4.4,20.2,50.0,96.9
